TASK 2 - PHASE 4: COORDINATED MOTION LOG
Full leg motion sequences with foot trajectory
================================================================================

SEQUENCE: Step Cycle
  GTime |        Stage |     Hip |    Knee |   Foot X |   Foot Y |   HipLoad |  KneeLoad
  0.810 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.820 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.830 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.840 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.850 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.860 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.870 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.880 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.890 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.900 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.910 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.920 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.930 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.940 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.950 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.960 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.970 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.980 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  0.990 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  1.000 |        STAND |    0.00 |    0.00 |   0.9000 |   0.0000 |   9.5648N |   2.3544N
  2.010 |         LIFT |    0.12 |    0.18 |   0.9000 |   0.0032 |   9.5647N |   2.3544N
  2.020 |         LIFT |    0.25 |    0.36 |   0.9000 |   0.0064 |   9.5647N |   2.3543N
  2.030 |         LIFT |    0.38 |    0.54 |   0.8999 |   0.0097 |   9.5645N |   2.3541N
  2.040 |         LIFT |    0.50 |    0.72 |   0.8999 |   0.0129 |   9.5644N |   2.3539N
  2.050 |         LIFT |    0.62 |    0.90 |   0.8998 |   0.0161 |   9.5642N |   2.3536N
  2.060 |         LIFT |    0.75 |    1.08 |   0.8998 |   0.0193 |   9.5639N |   2.3532N
  2.070 |         LIFT |    0.88 |    1.26 |   0.8997 |   0.0225 |   9.5636N |   2.3528N
  2.080 |         LIFT |    1.00 |    1.44 |   0.8996 |   0.0258 |   9.5633N |   2.3523N
  2.090 |         LIFT |    1.12 |    1.62 |   0.8994 |   0.0290 |   9.5629N |   2.3517N
  2.100 |         LIFT |    1.25 |    1.80 |   0.8993 |   0.0322 |   9.5625N |   2.3511N
  2.110 |         LIFT |    1.38 |    1.98 |   0.8992 |   0.0354 |   9.5620N |   2.3504N
  2.120 |         LIFT |    1.50 |    2.16 |   0.8990 |   0.0386 |   9.5615N |   2.3496N
  2.130 |         LIFT |    1.62 |    2.34 |   0.8988 |   0.0418 |   9.5609N |   2.3488N
  2.140 |         LIFT |    1.75 |    2.52 |   0.8987 |   0.0451 |   9.5603N |   2.3479N
  2.150 |         LIFT |    1.88 |    2.70 |   0.8985 |   0.0483 |   9.5596N |   2.3469N
  2.160 |         LIFT |    2.00 |    2.88 |   0.8982 |   0.0515 |   9.5589N |   2.3459N
  2.170 |         LIFT |    2.12 |    3.06 |   0.8980 |   0.0547 |   9.5582N |   2.3448N
  2.180 |         LIFT |    2.25 |    3.24 |   0.8978 |   0.0579 |   9.5574N |   2.3436N
  2.190 |         LIFT |    2.38 |    3.42 |   0.8975 |   0.0611 |   9.5565N |   2.3424N
  2.200 |         LIFT |    2.50 |    3.60 |   0.8973 |   0.0643 |   9.5556N |   2.3411N
  2.210 |         LIFT |    2.62 |    3.78 |   0.8970 |   0.0675 |   9.5547N |   2.3397N
  2.220 |         LIFT |    2.75 |    3.96 |   0.8967 |   0.0707 |   9.5537N |   2.3383N
  2.230 |         LIFT |    2.88 |    4.14 |   0.8964 |   0.0739 |   9.5527N |   2.3368N
  2.240 |         LIFT |    3.00 |    4.32 |   0.8961 |   0.0771 |   9.5516N |   2.3352N
  2.250 |         LIFT |    3.12 |    4.50 |   0.8957 |   0.0803 |   9.5505N |   2.3336N
  2.260 |         LIFT |    3.25 |    4.68 |   0.8954 |   0.0835 |   9.5494N |   2.3319N
  2.270 |         LIFT |    3.38 |    4.86 |   0.8950 |   0.0867 |   9.5482N |   2.3301N
  2.280 |         LIFT |    3.50 |    5.04 |   0.8946 |   0.0899 |   9.5469N |   2.3283N
  2.290 |         LIFT |    3.62 |    5.22 |   0.8942 |   0.0931 |   9.5456N |   2.3264N
  2.300 |         LIFT |    3.75 |    5.40 |   0.8938 |   0.0963 |   9.5443N |   2.3244N
  2.310 |         LIFT |    3.88 |    5.58 |   0.8934 |   0.0995 |   9.5429N |   2.3224N
  2.320 |         LIFT |    4.00 |    5.76 |   0.8930 |   0.1027 |   9.5415N |   2.3203N
  2.330 |         LIFT |    4.12 |    5.94 |   0.8925 |   0.1059 |   9.5400N |   2.3182N
  2.340 |         LIFT |    4.25 |    6.12 |   0.8921 |   0.1091 |   9.5384N |   2.3159N
  2.350 |         LIFT |    4.38 |    6.30 |   0.8916 |   0.1122 |   9.5369N |   2.3137N
  2.360 |         LIFT |    4.50 |    6.48 |   0.8911 |   0.1154 |   9.5353N |   2.3113N
  2.370 |         LIFT |    4.62 |    6.66 |   0.8906 |   0.1186 |   9.5336N |   2.3089N
  2.380 |         LIFT |    4.75 |    6.84 |   0.8901 |   0.1218 |   9.5319N |   2.3064N
  2.390 |         LIFT |    4.88 |    7.02 |   0.8896 |   0.1249 |   9.5301N |   2.3038N
  2.400 |         LIFT |    5.00 |    7.20 |   0.8891 |   0.1281 |   9.5284N |   2.3012N
  2.410 |         LIFT |    5.12 |    7.38 |   0.8885 |   0.1313 |   9.5265N |   2.2985N
  2.420 |         LIFT |    5.25 |    7.56 |   0.8879 |   0.1344 |   9.5246N |   2.2958N
  2.430 |         LIFT |    5.38 |    7.74 |   0.8874 |   0.1376 |   9.5227N |   2.2930N
  2.440 |         LIFT |    5.50 |    7.92 |   0.8868 |   0.1408 |   9.5207N |   2.2901N
  2.450 |         LIFT |    5.62 |    8.10 |   0.8862 |   0.1439 |   9.5187N |   2.2872N
  2.460 |         LIFT |    5.75 |    8.28 |   0.8856 |   0.1471 |   9.5166N |   2.2842N
  2.470 |         LIFT |    5.88 |    8.46 |   0.8849 |   0.1502 |   9.5145N |   2.2811N
  2.480 |         LIFT |    6.00 |    8.64 |   0.8843 |   0.1534 |   9.5124N |   2.2780N
  2.490 |         LIFT |    6.12 |    8.82 |   0.8836 |   0.1565 |   9.5101N |   2.2748N
  2.500 |         LIFT |    6.25 |    9.00 |   0.8829 |   0.1596 |   9.5079N |   2.2715N
  2.510 |         LIFT |    6.38 |    9.18 |   0.8823 |   0.1628 |   9.5056N |   2.2682N
  2.520 |         LIFT |    6.50 |    9.36 |   0.8816 |   0.1659 |   9.5033N |   2.2648N
  2.530 |         LIFT |    6.62 |    9.54 |   0.8808 |   0.1690 |   9.5009N |   2.2613N
  2.540 |         LIFT |    6.75 |    9.72 |   0.8801 |   0.1722 |   9.4985N |   2.2578N
  2.550 |         LIFT |    6.88 |    9.90 |   0.8794 |   0.1753 |   9.4960N |   2.2542N
  2.560 |         LIFT |    7.00 |   10.08 |   0.8786 |   0.1784 |   9.4935N |   2.2506N
  2.570 |         LIFT |    7.12 |   10.26 |   0.8779 |   0.1815 |   9.4909N |   2.2468N
  2.580 |         LIFT |    7.25 |   10.44 |   0.8771 |   0.1846 |   9.4883N |   2.2431N
  2.590 |         LIFT |    7.38 |   10.62 |   0.8763 |   0.1878 |   9.4856N |   2.2392N
  2.600 |         LIFT |    7.50 |   10.80 |   0.8755 |   0.1909 |   9.4829N |   2.2353N
  2.610 |         LIFT |    7.62 |   10.98 |   0.8747 |   0.1940 |   9.4802N |   2.2314N
  2.620 |         LIFT |    7.75 |   11.16 |   0.8738 |   0.1971 |   9.4774N |   2.2273N
  2.630 |         LIFT |    7.88 |   11.34 |   0.8730 |   0.2002 |   9.4745N |   2.2232N
  2.640 |         LIFT |    8.00 |   11.52 |   0.8721 |   0.2032 |   9.4717N |   2.2191N
  2.650 |         LIFT |    8.12 |   11.70 |   0.8713 |   0.2063 |   9.4687N |   2.2149N
  2.660 |         LIFT |    8.25 |   11.88 |   0.8704 |   0.2094 |   9.4658N |   2.2106N
  2.670 |         LIFT |    8.38 |   12.06 |   0.8695 |   0.2125 |   9.4628N |   2.2062N
  2.680 |         LIFT |    8.50 |   12.24 |   0.8686 |   0.2156 |   9.4597N |   2.2018N
  2.690 |         LIFT |    8.62 |   12.42 |   0.8677 |   0.2186 |   9.4566N |   2.1974N
  2.700 |         LIFT |    8.75 |   12.60 |   0.8667 |   0.2217 |   9.4534N |   2.1928N
  2.710 |         LIFT |    8.88 |   12.78 |   0.8658 |   0.2247 |   9.4502N |   2.1882N
  2.720 |         LIFT |    9.00 |   12.96 |   0.8648 |   0.2278 |   9.4470N |   2.1836N
  2.730 |         LIFT |    9.12 |   13.14 |   0.8638 |   0.2309 |   9.4437N |   2.1789N
  2.740 |         LIFT |    9.25 |   13.32 |   0.8629 |   0.2339 |   9.4404N |   2.1741N
  2.750 |         LIFT |    9.38 |   13.50 |   0.8619 |   0.2369 |   9.4370N |   2.1692N
  2.760 |         LIFT |    9.50 |   13.68 |   0.8609 |   0.2400 |   9.4336N |   2.1643N
  2.770 |         LIFT |    9.62 |   13.86 |   0.8598 |   0.2430 |   9.4301N |   2.1594N
  2.780 |         LIFT |    9.75 |   14.04 |   0.8588 |   0.2460 |   9.4266N |   2.1543N
  2.790 |         LIFT |    9.88 |   14.22 |   0.8577 |   0.2490 |   9.4230N |   2.1493N
  2.800 |         LIFT |   10.00 |   14.40 |   0.8567 |   0.2521 |   9.4194N |   2.1441N
  2.810 |         LIFT |   10.12 |   14.58 |   0.8556 |   0.2551 |   9.4158N |   2.1389N
  2.820 |         LIFT |   10.25 |   14.76 |   0.8545 |   0.2581 |   9.4121N |   2.1336N
  2.830 |         LIFT |   10.38 |   14.94 |   0.8534 |   0.2611 |   9.4084N |   2.1283N
  2.840 |         LIFT |   10.50 |   15.12 |   0.8523 |   0.2641 |   9.4046N |   2.1229N
  2.850 |         LIFT |   10.62 |   15.30 |   0.8512 |   0.2671 |   9.4008N |   2.1175N
  2.860 |         LIFT |   10.75 |   15.48 |   0.8500 |   0.2701 |   9.3969N |   2.1120N
  2.870 |         LIFT |   10.88 |   15.66 |   0.8489 |   0.2730 |   9.3930N |   2.1064N
  2.880 |         LIFT |   11.00 |   15.84 |   0.8477 |   0.2760 |   9.3890N |   2.1008N
  2.890 |         LIFT |   11.12 |   16.02 |   0.8465 |   0.2790 |   9.3850N |   2.0951N
  2.900 |         LIFT |   11.25 |   16.20 |   0.8454 |   0.2819 |   9.3810N |   2.0893N
  2.910 |         LIFT |   11.38 |   16.38 |   0.8442 |   0.2849 |   9.3769N |   2.0835N
  2.920 |         LIFT |   11.50 |   16.56 |   0.8429 |   0.2878 |   9.3727N |   2.0777N
  2.930 |         LIFT |   11.62 |   16.74 |   0.8417 |   0.2908 |   9.3686N |   2.0717N
  2.940 |         LIFT |   11.75 |   16.92 |   0.8405 |   0.2937 |   9.3643N |   2.0657N
  2.950 |         LIFT |   11.88 |   17.10 |   0.8392 |   0.2967 |   9.3601N |   2.0597N
  2.960 |         LIFT |   12.00 |   17.28 |   0.8380 |   0.2996 |   9.3557N |   2.0536N
  2.970 |         LIFT |   12.12 |   17.46 |   0.8367 |   0.3025 |   9.3514N |   2.0474N
  2.980 |         LIFT |   12.25 |   17.64 |   0.8354 |   0.3054 |   9.3470N |   2.0412N
  2.990 |         LIFT |   12.38 |   17.82 |   0.8341 |   0.3083 |   9.3425N |   2.0350N
  3.000 |         LIFT |   12.50 |   18.00 |   0.8328 |   0.3112 |   9.3380N |   2.0286N
  3.010 |         LIFT |   12.62 |   18.18 |   0.8315 |   0.3141 |   9.3335N |   2.0222N
  3.020 |         LIFT |   12.75 |   18.36 |   0.8301 |   0.3170 |   9.3289N |   2.0158N
  3.030 |         LIFT |   12.88 |   18.54 |   0.8288 |   0.3199 |   9.3243N |   2.0093N
  3.040 |         LIFT |   13.00 |   18.72 |   0.8274 |   0.3228 |   9.3196N |   2.0027N
  3.050 |         LIFT |   13.12 |   18.90 |   0.8261 |   0.3257 |   9.3149N |   1.9961N
  3.060 |         LIFT |   13.25 |   19.08 |   0.8247 |   0.3285 |   9.3101N |   1.9894N
  3.070 |         LIFT |   13.38 |   19.26 |   0.8233 |   0.3314 |   9.3053N |   1.9827N
  3.080 |         LIFT |   13.50 |   19.44 |   0.8219 |   0.3342 |   9.3005N |   1.9759N
  3.090 |         LIFT |   13.62 |   19.62 |   0.8205 |   0.3371 |   9.2956N |   1.9691N
  3.100 |         LIFT |   13.75 |   19.80 |   0.8190 |   0.3399 |   9.2906N |   1.9622N
  3.110 |         LIFT |   13.88 |   19.98 |   0.8176 |   0.3427 |   9.2857N |   1.9552N
  3.120 |         LIFT |   14.00 |   20.16 |   0.8161 |   0.3456 |   9.2806N |   1.9482N
  3.130 |         LIFT |   14.12 |   20.34 |   0.8147 |   0.3484 |   9.2756N |   1.9411N
  3.140 |         LIFT |   14.25 |   20.52 |   0.8132 |   0.3512 |   9.2705N |   1.9340N
  3.150 |         LIFT |   14.38 |   20.70 |   0.8117 |   0.3540 |   9.2653N |   1.9268N
  3.160 |         LIFT |   14.50 |   20.88 |   0.8102 |   0.3568 |   9.2601N |   1.9196N
  3.170 |         LIFT |   14.62 |   21.06 |   0.8087 |   0.3596 |   9.2548N |   1.9123N
  3.180 |         LIFT |   14.75 |   21.24 |   0.8072 |   0.3624 |   9.2496N |   1.9050N
  3.190 |         LIFT |   14.88 |   21.42 |   0.8056 |   0.3651 |   9.2442N |   1.8976N
  3.200 |         LIFT |   15.00 |   21.60 |   0.8041 |   0.3679 |   9.2388N |   1.8902N
  3.210 |         LIFT |   15.12 |   21.78 |   0.8025 |   0.3707 |   9.2334N |   1.8827N
  3.220 |         LIFT |   15.25 |   21.96 |   0.8010 |   0.3734 |   9.2279N |   1.8751N
  3.230 |         LIFT |   15.38 |   22.14 |   0.7994 |   0.3762 |   9.2224N |   1.8675N
  3.240 |         LIFT |   15.50 |   22.32 |   0.7978 |   0.3789 |   9.2169N |   1.8598N
  3.250 |         LIFT |   15.62 |   22.50 |   0.7962 |   0.3816 |   9.2113N |   1.8521N
  3.260 |         LIFT |   15.75 |   22.68 |   0.7946 |   0.3843 |   9.2056N |   1.8444N
  3.270 |         LIFT |   15.88 |   22.86 |   0.7929 |   0.3871 |   9.2000N |   1.8365N
  3.280 |         LIFT |   16.00 |   23.04 |   0.7913 |   0.3898 |   9.1942N |   1.8287N
  3.290 |         LIFT |   16.12 |   23.22 |   0.7897 |   0.3925 |   9.1885N |   1.8208N
  3.300 |         LIFT |   16.25 |   23.40 |   0.7880 |   0.3952 |   9.1826N |   1.8128N
  3.310 |         LIFT |   16.38 |   23.58 |   0.7863 |   0.3978 |   9.1768N |   1.8048N
  3.320 |         LIFT |   16.50 |   23.76 |   0.7847 |   0.4005 |   9.1709N |   1.7967N
  3.330 |         LIFT |   16.62 |   23.94 |   0.7830 |   0.4032 |   9.1649N |   1.7886N
  3.340 |         LIFT |   16.75 |   24.12 |   0.7813 |   0.4058 |   9.1589N |   1.7804N
  3.350 |         LIFT |   16.88 |   24.30 |   0.7796 |   0.4085 |   9.1529N |   1.7722N
  3.360 |         LIFT |   17.00 |   24.48 |   0.7778 |   0.4111 |   9.1468N |   1.7639N
  3.370 |         LIFT |   17.12 |   24.66 |   0.7761 |   0.4138 |   9.1407N |   1.7556N
  3.380 |         LIFT |   17.25 |   24.84 |   0.7743 |   0.4164 |   9.1345N |   1.7472N
  3.390 |         LIFT |   17.38 |   25.02 |   0.7726 |   0.4190 |   9.1283N |   1.7388N
  3.400 |         LIFT |   17.50 |   25.20 |   0.7708 |   0.4216 |   9.1221N |   1.7303N
  3.410 |         LIFT |   17.62 |   25.38 |   0.7690 |   0.4242 |   9.1158N |   1.7218N
  3.420 |         LIFT |   17.75 |   25.56 |   0.7673 |   0.4268 |   9.1094N |   1.7132N
  3.430 |         LIFT |   17.88 |   25.74 |   0.7655 |   0.4294 |   9.1030N |   1.7046N
  3.440 |         LIFT |   18.00 |   25.92 |   0.7637 |   0.4320 |   9.0966N |   1.6959N
  3.450 |         LIFT |   18.12 |   26.10 |   0.7618 |   0.4345 |   9.0901N |   1.6872N
  3.460 |         LIFT |   18.25 |   26.28 |   0.7600 |   0.4371 |   9.0836N |   1.6784N
  3.470 |         LIFT |   18.38 |   26.46 |   0.7582 |   0.4396 |   9.0771N |   1.6696N
  3.480 |         LIFT |   18.50 |   26.64 |   0.7563 |   0.4422 |   9.0705N |   1.6607N
  3.490 |         LIFT |   18.62 |   26.82 |   0.7545 |   0.4447 |   9.0638N |   1.6518N
  3.500 |         LIFT |   18.75 |   27.00 |   0.7526 |   0.4472 |   9.0571N |   1.6429N
  5.010 |       EXTEND |   18.88 |   26.86 |   0.7523 |   0.4482 |   9.0504N |   1.6433N
  5.020 |       EXTEND |   19.00 |   26.72 |   0.7520 |   0.4492 |   9.0436N |   1.6437N
  5.030 |       EXTEND |   19.12 |   26.59 |   0.7517 |   0.4502 |   9.0368N |   1.6440N
  5.040 |       EXTEND |   19.25 |   26.46 |   0.7514 |   0.4512 |   9.0300N |   1.6442N
  5.050 |       EXTEND |   19.38 |   26.33 |   0.7510 |   0.4522 |   9.0231N |   1.6443N
  5.060 |       EXTEND |   19.50 |   26.20 |   0.7507 |   0.4532 |   9.0161N |   1.6443N
  5.070 |       EXTEND |   19.62 |   26.08 |   0.7503 |   0.4542 |   9.0091N |   1.6443N
  5.080 |       EXTEND |   19.75 |   25.96 |   0.7499 |   0.4553 |   9.0021N |   1.6442N
  5.090 |       EXTEND |   19.88 |   25.84 |   0.7495 |   0.4563 |   8.9950N |   1.6440N
  5.100 |       EXTEND |   20.00 |   25.72 |   0.7491 |   0.4574 |   8.9879N |   1.6438N
  5.110 |       EXTEND |   20.12 |   25.61 |   0.7487 |   0.4585 |   8.9808N |   1.6435N
  5.120 |       EXTEND |   20.25 |   25.49 |   0.7482 |   0.4595 |   8.9736N |   1.6431N
  5.130 |       EXTEND |   20.38 |   25.38 |   0.7478 |   0.4606 |   8.9663N |   1.6426N
  5.140 |       EXTEND |   20.50 |   25.28 |   0.7473 |   0.4617 |   8.9590N |   1.6421N
  5.150 |       EXTEND |   20.62 |   25.17 |   0.7468 |   0.4629 |   8.9517N |   1.6416N
  5.160 |       EXTEND |   20.75 |   25.07 |   0.7464 |   0.4640 |   8.9443N |   1.6409N
