TASK 2 - PHASE 3: COUPLED DYNAMICS LOG
Both joints simulated simultaneously with load tracking
===========================================================================

SCENARIO: Stand to Lift
   Time |    Hip° |   Knee° |   Hip Load |  Knee Load |   Hip Net |  Knee Net
  0.430 |   5.375 |   7.740 |    9.5227N |    2.2930N |   2.4773N |   6.2070N
  0.440 |   5.500 |   7.920 |    9.5207N |    2.2901N |   2.4793N |   6.2099N
  0.450 |   5.625 |   8.100 |    9.5187N |    2.2872N |   2.4813N |   6.2128N
  0.460 |   5.750 |   8.280 |    9.5166N |    2.2842N |   2.4834N |   6.2158N
  0.470 |   5.875 |   8.460 |    9.5145N |    2.2811N |   2.4855N |   6.2189N
  0.480 |   6.000 |   8.640 |    9.5124N |    2.2780N |   2.4876N |   6.2220N
  0.490 |   6.125 |   8.820 |    9.5101N |    2.2748N |   2.4899N |   6.2252N
  0.500 |   6.250 |   9.000 |    9.5079N |    2.2715N |   2.4921N |   6.2285N
  0.510 |   6.375 |   9.180 |    9.5056N |    2.2682N |   2.4944N |   6.2318N
  0.520 |   6.500 |   9.360 |    9.5033N |    2.2648N |   2.4967N |   6.2352N
  0.530 |   6.625 |   9.540 |    9.5009N |    2.2613N |   2.4991N |   6.2387N
  0.540 |   6.750 |   9.720 |    9.4985N |    2.2578N |   2.5015N |   6.2422N
  0.550 |   6.875 |   9.900 |    9.4960N |    2.2542N |   2.5040N |   6.2458N
  0.560 |   7.000 |  10.080 |    9.4935N |    2.2506N |   2.5065N |   6.2494N
  0.570 |   7.125 |  10.260 |    9.4909N |    2.2468N |   2.5091N |   6.2532N
  0.580 |   7.250 |  10.440 |    9.4883N |    2.2431N |   2.5117N |   6.2569N
  0.590 |   7.375 |  10.620 |    9.4856N |    2.2392N |   2.5144N |   6.2608N
  0.600 |   7.500 |  10.800 |    9.4829N |    2.2353N |   2.5171N |   6.2647N
  0.610 |   7.625 |  10.980 |    9.4802N |    2.2314N |   2.5198N |   6.2686N
  0.620 |   7.750 |  11.160 |    9.4774N |    2.2273N |   2.5226N |   6.2727N
  0.630 |   7.875 |  11.340 |    9.4745N |    2.2232N |   2.5255N |   6.2768N
  0.640 |   8.000 |  11.520 |    9.4717N |    2.2191N |   2.5283N |   6.2809N
  0.650 |   8.125 |  11.700 |    9.4687N |    2.2149N |   2.5313N |   6.2851N
  0.660 |   8.250 |  11.880 |    9.4658N |    2.2106N |   2.5342N |   6.2894N
  0.670 |   8.375 |  12.060 |    9.4628N |    2.2062N |   2.5372N |   6.2938N
  0.680 |   8.500 |  12.240 |    9.4597N |    2.2018N |   2.5403N |   6.2982N
  0.690 |   8.625 |  12.420 |    9.4566N |    2.1974N |   2.5434N |   6.3026N
  0.700 |   8.750 |  12.600 |    9.4534N |    2.1928N |   2.5466N |   6.3072N
  0.710 |   8.875 |  12.780 |    9.4502N |    2.1882N |   2.5498N |   6.3118N
  0.720 |   9.000 |  12.960 |    9.4470N |    2.1836N |   2.5530N |   6.3164N
  0.730 |   9.125 |  13.140 |    9.4437N |    2.1789N |   2.5563N |   6.3211N
  0.740 |   9.250 |  13.320 |    9.4404N |    2.1741N |   2.5596N |   6.3259N
  0.750 |   9.375 |  13.500 |    9.4370N |    2.1692N |   2.5630N |   6.3308N
  0.760 |   9.500 |  13.680 |    9.4336N |    2.1643N |   2.5664N |   6.3357N
  0.770 |   9.625 |  13.860 |    9.4301N |    2.1594N |   2.5699N |   6.3406N
  0.780 |   9.750 |  14.040 |    9.4266N |    2.1543N |   2.5734N |   6.3457N
  0.790 |   9.875 |  14.220 |    9.4230N |    2.1493N |   2.5770N |   6.3507N
  0.800 |  10.000 |  14.400 |    9.4194N |    2.1441N |   2.5806N |   6.3559N
  0.810 |  10.125 |  14.580 |    9.4158N |    2.1389N |   2.5842N |   6.3611N
  0.820 |  10.250 |  14.760 |    9.4121N |    2.1336N |   2.5879N |   6.3664N
  0.830 |  10.375 |  14.940 |    9.4084N |    2.1283N |   2.5916N |   6.3717N
  0.840 |  10.500 |  15.120 |    9.4046N |    2.1229N |   2.5954N |   6.3771N
  0.850 |  10.625 |  15.300 |    9.4008N |    2.1175N |   2.5992N |   6.3825N
  0.860 |  10.750 |  15.480 |    9.3969N |    2.1120N |   2.6031N |   6.3880N
  0.870 |  10.875 |  15.660 |    9.3930N |    2.1064N |   2.6070N |   6.3936N
  0.880 |  11.000 |  15.840 |    9.3890N |    2.1008N |   2.6110N |   6.3992N
  0.890 |  11.125 |  16.020 |    9.3850N |    2.0951N |   2.6150N |   6.4049N
  0.900 |  11.250 |  16.200 |    9.3810N |    2.0893N |   2.6190N |   6.4107N
  0.910 |  11.375 |  16.380 |    9.3769N |    2.0835N |   2.6231N |   6.4165N
  0.920 |  11.500 |  16.560 |    9.3727N |    2.0777N |   2.6273N |   6.4223N
  0.930 |  11.625 |  16.740 |    9.3686N |    2.0717N |   2.6314N |   6.4283N
  0.940 |  11.750 |  16.920 |    9.3643N |    2.0657N |   2.6357N |   6.4343N
  0.950 |  11.875 |  17.100 |    9.3601N |    2.0597N |   2.6399N |   6.4403N
  0.960 |  12.000 |  17.280 |    9.3557N |    2.0536N |   2.6443N |   6.4464N
  0.970 |  12.125 |  17.460 |    9.3514N |    2.0474N |   2.6486N |   6.4526N
  0.980 |  12.250 |  17.640 |    9.3470N |    2.0412N |   2.6530N |   6.4588N
  0.990 |  12.375 |  17.820 |    9.3425N |    2.0350N |   2.6575N |   6.4650N
  1.000 |  12.500 |  18.000 |    9.3380N |    2.0286N |   2.6620N |   6.4714N
  1.010 |  12.625 |  18.180 |    9.3335N |    2.0222N |   2.6665N |   6.4778N
  1.020 |  12.750 |  18.360 |    9.3289N |    2.0158N |   2.6711N |   6.4842N
  1.030 |  12.875 |  18.540 |    9.3243N |    2.0093N |   2.6757N |   6.4907N
  1.040 |  13.000 |  18.720 |    9.3196N |    2.0027N |   2.6804N |   6.4973N
  1.050 |  13.125 |  18.900 |    9.3149N |    1.9961N |   2.6851N |   6.5039N
  1.060 |  13.250 |  19.080 |    9.3101N |    1.9894N |   2.6899N |   6.5106N
  1.070 |  13.375 |  19.260 |    9.3053N |    1.9827N |   2.6947N |   6.5173N
  1.080 |  13.500 |  19.440 |    9.3005N |    1.9759N |   2.6995N |   6.5241N
  1.090 |  13.625 |  19.620 |    9.2956N |    1.9691N |   2.7044N |   6.5309N
  1.100 |  13.750 |  19.800 |    9.2906N |    1.9622N |   2.7094N |   6.5378N
  1.110 |  13.875 |  19.980 |    9.2857N |    1.9552N |   2.7143N |   6.5448N
  1.120 |  14.000 |  20.160 |    9.2806N |    1.9482N |   2.7194N |   6.5518N
  1.130 |  14.125 |  20.340 |    9.2756N |    1.9411N |   2.7244N |   6.5589N
  1.140 |  14.250 |  20.520 |    9.2705N |    1.9340N |   2.7295N |   6.5660N
  1.150 |  14.375 |  20.700 |    9.2653N |    1.9268N |   2.7347N |   6.5732N
  1.160 |  14.500 |  20.880 |    9.2601N |    1.9196N |   2.7399N |   6.5804N
  1.170 |  14.625 |  21.060 |    9.2548N |    1.9123N |   2.7452N |   6.5877N
  1.180 |  14.750 |  21.240 |    9.2496N |    1.9050N |   2.7504N |   6.5950N
  1.190 |  14.875 |  21.420 |    9.2442N |    1.8976N |   2.7558N |   6.6024N
  1.200 |  15.000 |  21.600 |    9.2388N |    1.8902N |   2.7612N |   6.6098N
  1.210 |  15.125 |  21.780 |    9.2334N |    1.8827N |   2.7666N |   6.6173N
  1.220 |  15.250 |  21.960 |    9.2279N |    1.8751N |   2.7721N |   6.6249N
  1.230 |  15.375 |  22.140 |    9.2224N |    1.8675N |   2.7776N |   6.6325N
  1.240 |  15.500 |  22.320 |    9.2169N |    1.8598N |   2.7831N |   6.6402N
  1.250 |  15.625 |  22.500 |    9.2113N |    1.8521N |   2.7887N |   6.6479N
  1.260 |  15.750 |  22.680 |    9.2056N |    1.8444N |   2.7944N |   6.6556N
  1.270 |  15.875 |  22.860 |    9.2000N |    1.8365N |   2.8000N |   6.6635N
  1.280 |  16.000 |  23.040 |    9.1942N |    1.8287N |   2.8058N |   6.6713N
  1.290 |  16.125 |  23.220 |    9.1885N |    1.8208N |   2.8115N |   6.6792N
  1.300 |  16.250 |  23.400 |    9.1826N |    1.8128N |   2.8174N |   6.6872N
  1.310 |  16.375 |  23.580 |    9.1768N |    1.8048N |   2.8232N |   6.6952N
  1.320 |  16.500 |  23.760 |    9.1709N |    1.7967N |   2.8291N |   6.7033N
  1.330 |  16.625 |  23.940 |    9.1649N |    1.7886N |   2.8351N |   6.7114N
  1.340 |  16.750 |  24.120 |    9.1589N |    1.7804N |   2.8411N |   6.7196N
  1.350 |  16.875 |  24.300 |    9.1529N |    1.7722N |   2.8471N |   6.7278N
  1.360 |  17.000 |  24.480 |    9.1468N |    1.7639N |   2.8532N |   6.7361N
  1.370 |  17.125 |  24.660 |    9.1407N |    1.7556N |   2.8593N |   6.7444N
  1.380 |  17.250 |  24.840 |    9.1345N |    1.7472N |   2.8655N |   6.7528N
  1.390 |  17.375 |  25.020 |    9.1283N |    1.7388N |   2.8717N |   6.7612N
  1.400 |  17.500 |  25.200 |    9.1221N |    1.7303N |   2.8779N |   6.7697N
  1.410 |  17.625 |  25.380 |    9.1158N |    1.7218N |   2.8842N |   6.7782N
  1.420 |  17.750 |  25.560 |    9.1094N |    1.7132N |   2.8906N |   6.7868N
  1.430 |  17.875 |  25.740 |    9.1030N |    1.7046N |   2.8970N |   6.7954N
  1.440 |  18.000 |  25.920 |    9.0966N |    1.6959N |   2.9034N |   6.8041N
  1.450 |  18.125 |  26.100 |    9.0901N |    1.6872N |   2.9099N |   6.8128N
  1.460 |  18.250 |  26.280 |    9.0836N |    1.6784N |   2.9164N |   6.8216N
  1.470 |  18.375 |  26.460 |    9.0771N |    1.6696N |   2.9229N |   6.8304N
  1.480 |  18.500 |  26.640 |    9.0705N |    1.6607N |   2.9295N |   6.8393N
  1.490 |  18.625 |  26.820 |    9.0638N |    1.6518N |   2.9362N |   6.8482N
  1.500 |  18.750 |  27.000 |    9.0571N |    1.6429N |   2.9429N |   6.8571N
  1.510 |  18.875 |  27.180 |    9.0504N |    1.6339N |   2.9496N |   6.8661N
  1.520 |  19.000 |  27.360 |    9.0436N |    1.6248N |   2.9564N |   6.8752N
  1.530 |  19.125 |  27.540 |    9.0368N |    1.6157N |   2.9632N |   6.8843N
  1.540 |  19.250 |  27.720 |    9.0300N |    1.6066N |   2.9700N |   6.8934N
  1.550 |  19.375 |  27.900 |    9.0231N |    1.5974N |   2.9769N |   6.9026N
  1.560 |  19.500 |  28.080 |    9.0161N |    1.5882N |   2.9839N |   6.9118N
  1.570 |  19.625 |  28.260 |    9.0091N |    1.5789N |   2.9909N |   6.9211N
  1.580 |  19.750 |  28.440 |    9.0021N |    1.5696N |   2.9979N |   6.9304N
  1.590 |  19.875 |  28.620 |    8.9950N |    1.5602N |   3.0050N |   6.9398N
  1.600 |  20.000 |  28.800 |    8.9879N |    1.5508N |   3.0121N |   6.9492N
  1.610 |  20.125 |  28.980 |    8.9808N |    1.5414N |   3.0192N |   6.9586N
  1.620 |  20.250 |  29.160 |    8.9736N |    1.5319N |   3.0264N |   6.9681N
  1.630 |  20.375 |  29.340 |    8.9663N |    1.5223N |   3.0337N |   6.9777N
  1.640 |  20.500 |  29.518 |    8.9590N |    1.5128N |   3.0410N |   6.9872N
  1.650 |  20.625 |  29.692 |    8.9517N |    1.5034N |   3.0483N |   6.9966N
  1.660 |  20.750 |  29.864 |    8.9443N |    1.4940N |   3.0557N |   7.0060N
  1.670 |  20.875 |  30.033 |    8.9369N |    1.4846N |   3.0631N |   7.0154N
  1.680 |  21.000 |  30.199 |    8.9295N |    1.4753N |   3.0705N |   7.0247N
  1.690 |  21.125 |  30.363 |    8.9220N |    1.4660N |   3.0780N |   7.0340N
  1.700 |  21.250 |  30.523 |    8.9144N |    1.4568N |   3.0856N |   7.0432N
  1.710 |  21.375 |  30.681 |    8.9068N |    1.4477N |   3.0932N |   7.0523N
  1.720 |  21.500 |  30.836 |    8.8992N |    1.4386N |   3.1008N |   7.0614N
  1.730 |  21.625 |  30.989 |    8.8915N |    1.4295N |   3.1085N |   7.0705N
  1.740 |  21.750 |  31.139 |    8.8838N |    1.4205N |   3.1162N |   7.0795N
  1.750 |  21.875 |  31.287 |    8.8761N |    1.4116N |   3.1239N |   7.0884N
  1.760 |  22.000 |  31.432 |    8.8683N |    1.4027N |   3.1317N |   7.0973N
  1.770 |  22.125 |  31.575 |    8.8604N |    1.3938N |   3.1396N |   7.1062N
  1.780 |  22.250 |  31.715 |    8.8526N |    1.3850N |   3.1474N |   7.1150N
  1.790 |  22.375 |  31.854 |    8.8446N |    1.3763N |   3.1554N |   7.1237N
  1.800 |  22.500 |  31.989 |    8.8367N |    1.3676N |   3.1633N |   7.1324N
  1.810 |  22.625 |  32.123 |    8.8287N |    1.3589N |   3.1713N |   7.1411N
  1.820 |  22.750 |  32.254 |    8.8206N |    1.3503N |   3.1794N |   7.1497N
  1.830 |  22.875 |  32.383 |    8.8125N |    1.3417N |   3.1875N |   7.1583N
  1.840 |  23.000 |  32.510 |    8.8044N |    1.3332N |   3.1956N |   7.1668N
  1.850 |  23.125 |  32.635 |    8.7962N |    1.3247N |   3.2038N |   7.1753N
  1.860 |  23.250 |  32.758 |    8.7880N |    1.3163N |   3.2120N |   7.1837N
  1.870 |  23.375 |  32.878 |    8.7798N |    1.3079N |   3.2202N |   7.1921N
  1.880 |  23.500 |  32.997 |    8.7715N |    1.2996N |   3.2285N |   7.2004N
  1.890 |  23.625 |  33.114 |    8.7631N |    1.2913N |   3.2369N |   7.2087N
  1.900 |  23.750 |  33.229 |    8.7547N |    1.2830N |   3.2453N |   7.2170N
  1.910 |  23.875 |  33.342 |    8.7463N |    1.2748N |   3.2537N |   7.2252N
  1.920 |  24.000 |  33.452 |    8.7378N |    1.2667N |   3.2622N |   7.2333N
  1.930 |  24.125 |  33.562 |    8.7293N |    1.2585N |   3.2707N |   7.2415N
  1.940 |  24.250 |  33.669 |    8.7208N |    1.2505N |   3.2792N |   7.2495N
  1.950 |  24.375 |  33.774 |    8.7122N |    1.2424N |   3.2878N |   7.2576N
  1.960 |  24.500 |  33.878 |    8.7036N |    1.2344N |   3.2964N |   7.2656N
  1.970 |  24.625 |  33.980 |    8.6949N |    1.2265N |   3.3051N |   7.2735N
  1.980 |  24.750 |  34.081 |    8.6862N |    1.2186N |   3.3138N |   7.2814N
  1.990 |  24.875 |  34.179 |    8.6774N |    1.2107N |   3.3226N |   7.2893N
  2.000 |  25.000 |  34.276 |    8.6686N |    1.2029N |   3.3314N |   7.2971N
  2.010 |  25.125 |  34.372 |    8.6598N |    1.1951N |   3.3402N |   7.3049N
  2.020 |  25.250 |  34.465 |    8.6509N |    1.1873N |   3.3491N |   7.3127N
  2.030 |  25.375 |  34.558 |    8.6420N |    1.1796N |   3.3580N |   7.3204N
  2.040 |  25.500 |  34.648 |    8.6330N |    1.1719N |   3.3670N |   7.3281N
  2.050 |  25.625 |  34.737 |    8.6240N |    1.1643N |   3.3760N |   7.3357N
  2.060 |  25.750 |  34.825 |    8.6150N |    1.1567N |   3.3850N |   7.3433N
  2.070 |  25.875 |  34.911 |    8.6059N |    1.1491N |   3.3941N |   7.3509N
  2.080 |  26.000 |  34.996 |    8.5967N |    1.1416N |   3.4033N |   7.3584N
  2.090 |  26.125 |  35.080 |    8.5876N |    1.1341N |   3.4124N |   7.3659N
  2.100 |  26.250 |  35.162 |    8.5784N |    1.1266N |   3.4216N |   7.3734N
  2.110 |  26.375 |  35.242 |    8.5691N |    1.1192N |   3.4309N |   7.3808N
  2.120 |  26.500 |  35.322 |    8.5598N |    1.1118N |   3.4402N |   7.3882N
  2.130 |  26.625 |  35.400 |    8.5505N |    1.1044N |   3.4495N |   7.3956N
  2.140 |  26.750 |  35.476 |    8.5411N |    1.0971N |   3.4589N |   7.4029N
  2.150 |  26.875 |  35.552 |    8.5317N |    1.0898N |   3.4683N |   7.4102N
  2.160 |  27.000 |  35.626 |    8.5223N |    1.0826N |   3.4777N |   7.4174N
  2.170 |  27.125 |  35.699 |    8.5128N |    1.0753N |   3.4872N |   7.4247N
  2.180 |  27.250 |  35.770 |    8.5032N |    1.0681N |   3.4968N |   7.4319N
  2.190 |  27.375 |  35.841 |    8.4937N |    1.0610N |   3.5063N |   7.4390N
  2.200 |  27.500 |  35.910 |    8.4840N |    1.0538N |   3.5160N |   7.4462N
  2.210 |  27.625 |  35.978 |    8.4744N |    1.0467N |   3.5256N |   7.4533N
  2.220 |  27.750 |  36.045 |    8.4647N |    1.0397N |   3.5353N |   7.4603N
  2.230 |  27.875 |  36.111 |    8.4549N |    1.0326N |   3.5451N |   7.4674N
  2.240 |  28.000 |  36.176 |    8.4452N |    1.0256N |   3.5548N |   7.4744N
  2.250 |  28.125 |  36.240 |    8.4354N |    1.0186N |   3.5646N |   7.4814N
  2.260 |  28.250 |  36.303 |    8.4255N |    1.0116N |   3.5745N |   7.4884N
  2.270 |  28.375 |  36.364 |    8.4156N |    1.0047N |   3.5844N |   7.4953N
  2.280 |  28.500 |  36.425 |    8.4057N |    0.9978N |   3.5943N |   7.5022N
  2.290 |  28.625 |  36.484 |    8.3957N |    0.9909N |   3.6043N |   7.5091N
  2.300 |  28.750 |  36.543 |    8.3857N |    0.9841N |   3.6143N |   7.5159N
  2.310 |  28.875 |  36.600 |    8.3756N |    0.9773N |   3.6244N |   7.5227N
  2.320 |  29.000 |  36.657 |    8.3655N |    0.9705N |   3.6345N |   7.5295N
  2.330 |  29.125 |  36.713 |    8.3554N |    0.9637N |   3.6446N |   7.5363N
  2.340 |  29.250 |  36.768 |    8.3452N |    0.9570N |   3.6548N |   7.5430N
  2.350 |  29.375 |  36.822 |    8.3350N |    0.9502N |   3.6650N |   7.5498N
  2.360 |  29.500 |  36.874 |    8.3247N |    0.9435N |   3.6753N |   7.5565N
  2.370 |  29.625 |  36.927 |    8.3144N |    0.9369N |   3.6856N |   7.5631N
  2.380 |  29.750 |  36.978 |    8.3041N |    0.9302N |   3.6959N |   7.5698N
  2.390 |  29.875 |  37.028 |    8.2937N |    0.9236N |   3.7063N |   7.5764N
  2.400 |  30.000 |  37.078 |    8.2833N |    0.9170N |   3.7167N |   7.5830N
  2.410 |  30.125 |  37.127 |    8.2729N |    0.9104N |   3.7271N |   7.5896N
  2.420 |  30.250 |  37.174 |    8.2624N |    0.9039N |   3.7376N |   7.5961N
  2.430 |  30.375 |  37.221 |    8.2518N |    0.8973N |   3.7482N |   7.6027N
  2.440 |  30.500 |  37.268 |    8.2413N |    0.8908N |   3.7587N |   7.6092N
  2.450 |  30.625 |  37.313 |    8.2307N |    0.8843N |   3.7693N |   7.6157N
  2.460 |  30.750 |  37.358 |    8.2200N |    0.8779N |   3.7800N |   7.6221N
  2.470 |  30.875 |  37.402 |    8.2093N |    0.8714N |   3.7907N |   7.6286N
  2.480 |  31.000 |  37.445 |    8.1986N |    0.8650N |   3.8014N |   7.6350N
  2.490 |  31.125 |  37.488 |    8.1878N |    0.8586N |   3.8122N |   7.6414N
  2.500 |  31.250 |  37.530 |    8.1770N |    0.8522N |   3.8230N |   7.6478N
  2.510 |  31.375 |  37.571 |    8.1662N |    0.8458N |   3.8338N |   7.6542N
  2.520 |  31.500 |  37.611 |    8.1553N |    0.8395N |   3.8447N |   7.6605N
  2.530 |  31.625 |  37.651 |    8.1444N |    0.8331N |   3.8556N |   7.6669N
  2.540 |  31.750 |  37.691 |    8.1334N |    0.8268N |   3.8666N |   7.6732N
  2.550 |  31.875 |  37.729 |    8.1224N |    0.8205N |   3.8776N |   7.6795N
  2.560 |  32.000 |  37.767 |    8.1114N |    0.8143N |   3.8886N |   7.6857N
  2.570 |  32.125 |  37.804 |    8.1003N |    0.8080N |   3.8997N |   7.6920N
  2.580 |  32.250 |  37.841 |    8.0892N |    0.8018N |   3.9108N |   7.6982N
  2.590 |  32.375 |  37.877 |    8.0780N |    0.7955N |   3.9220N |   7.7045N
  2.600 |  32.500 |  37.912 |    8.0668N |    0.7893N |   3.9332N |   7.7107N
  2.610 |  32.625 |  37.947 |    8.0556N |    0.7831N |   3.9444N |   7.7169N
  2.620 |  32.750 |  37.981 |    8.0443N |    0.7770N |   3.9557N |   7.7230N
  2.630 |  32.875 |  38.015 |    8.0330N |    0.7708N |   3.9670N |   7.7292N
  2.640 |  33.000 |  38.048 |    8.0217N |    0.7647N |   3.9783N |   7.7353N
  2.650 |  33.125 |  38.080 |    8.0103N |    0.7585N |   3.9897N |   7.7415N
  2.660 |  33.250 |  38.112 |    7.9989N |    0.7524N |   4.0011N |   7.7476N
  2.670 |  33.375 |  38.144 |    7.9874N |    0.7463N |   4.0126N |   7.7537N
  2.680 |  33.500 |  38.175 |    7.9759N |    0.7403N |   4.0241N |   7.7597N
  2.690 |  33.625 |  38.205 |    7.9644N |    0.7342N |   4.0356N |   7.7658N
  2.700 |  33.750 |  38.235 |    7.9528N |    0.7281N |   4.0472N |   7.7719N
  2.710 |  33.875 |  38.264 |    7.9412N |    0.7221N |   4.0588N |   7.7779N
  2.720 |  34.000 |  38.293 |    7.9295N |    0.7161N |   4.0705N |   7.7839N
  2.730 |  34.125 |  38.322 |    7.9178N |    0.7101N |   4.0822N |   7.7899N
  2.740 |  34.250 |  38.350 |    7.9061N |    0.7041N |   4.0939N |   7.7959N
  2.750 |  34.375 |  38.377 |    7.8944N |    0.6981N |   4.1056N |   7.8019N
  2.760 |  34.500 |  38.404 |    7.8826N |    0.6921N |   4.1174N |   7.8079N
  2.770 |  34.625 |  38.431 |    7.8707N |    0.6862N |   4.1293N |   7.8138N
  2.780 |  34.750 |  38.457 |    7.8588N |    0.6802N |   4.1412N |   7.8198N
  2.790 |  34.875 |  38.483 |    7.8469N |    0.6743N |   4.1531N |   7.8257N
  2.800 |  35.000 |  38.508 |    7.8350N |    0.6684N |   4.1650N |   7.8316N
  2.810 |  35.125 |  38.533 |    7.8230N |    0.6625N |   4.1770N |   7.8375N
  2.820 |  35.250 |  38.557 |    7.8110N |    0.6566N |   4.1890N |   7.8434N
  2.830 |  35.375 |  38.581 |    7.7989N |    0.6507N |   4.2011N |   7.8493N
  2.840 |  35.500 |  38.605 |    7.7868N |    0.6448N |   4.2132N |   7.8552N
  2.850 |  35.625 |  38.628 |    7.7747N |    0.6389N |   4.2253N |   7.8611N
  2.860 |  35.750 |  38.651 |    7.7625N |    0.6331N |   4.2375N |   7.8669N
  2.870 |  35.875 |  38.674 |    7.7503N |    0.6273N |   4.2497N |   7.8727N
  2.880 |  36.000 |  38.696 |    7.7380N |    0.6214N |   4.2620N |   7.8786N
  2.890 |  36.125 |  38.718 |    7.7258N |    0.6156N |   4.2742N |   7.8844N
  2.900 |  36.250 |  38.739 |    7.7134N |    0.6098N |   4.2866N |   7.8902N
  2.910 |  36.375 |  38.760 |    7.7011N |    0.6040N |   4.2989N |   7.8960N
  2.920 |  36.500 |  38.781 |    7.6887N |    0.5982N |   4.3113N |   7.9018N
  2.930 |  36.625 |  38.801 |    7.6763N |    0.5924N |   4.3237N |   7.9076N
  2.940 |  36.750 |  38.821 |    7.6638N |    0.5867N |   4.3362N |   7.9133N
  2.950 |  36.875 |  38.840 |    7.6513N |    0.5809N |   4.3487N |   7.9191N
  2.960 |  37.000 |  38.860 |    7.6387N |    0.5752N |   4.3613N |   7.9248N
  2.970 |  37.125 |  38.879 |    7.6262N |    0.5694N |   4.3738N |   7.9306N
  2.980 |  37.250 |  38.898 |    7.6136N |    0.5637N |   4.3864N |   7.9363N
  2.990 |  37.375 |  38.916 |    7.6009N |    0.5580N |   4.3991N |   7.9420N
