TASK 2 - PHASE 2: FORWARD KINEMATICS LOG
Hip Angle + Knee Angle -> Foot Position
======================================================================

SEQUENCE: Stand → Lift → Return
Step |    Hip° |   Knee° |   Foot X |   Foot Y |   Reach
   1 |  -30.00 |    0.00 |   0.7794 |  -0.4500 |  0.9000
   2 |  -26.00 |    4.00 |   0.8203 |  -0.3690 |  0.8995
   3 |  -22.00 |    8.00 |   0.8517 |  -0.2841 |  0.8978
   4 |  -18.00 |   12.00 |   0.8733 |  -0.1963 |  0.8951
   5 |  -14.00 |   16.00 |   0.8849 |  -0.1070 |  0.8913
   6 |  -10.00 |   20.00 |   0.8863 |  -0.0174 |  0.8865
   7 |   -6.00 |   24.00 |   0.8777 |   0.0713 |  0.8806
   8 |   -2.00 |   28.00 |   0.8592 |   0.1579 |  0.8736
   9 |    2.00 |   32.00 |   0.8313 |   0.2411 |  0.8656
  10 |    6.00 |   36.00 |   0.7945 |   0.3199 |  0.8565
  11 |   10.00 |   40.00 |   0.7495 |   0.3932 |  0.8464
  12 |   14.00 |   44.00 |   0.6971 |   0.4602 |  0.8353
  13 |   18.00 |   48.00 |   0.6382 |   0.5199 |  0.8232
  14 |   22.00 |   52.00 |   0.5738 |   0.5718 |  0.8101
  15 |   26.00 |   56.00 |   0.5051 |   0.6153 |  0.7960
  16 |   30.00 |   60.00 |   0.4330 |   0.6500 |  0.7810
  17 |   34.00 |   64.00 |   0.3588 |   0.6757 |  0.7651
  18 |   38.00 |   68.00 |   0.2838 |   0.6923 |  0.7482
  19 |   42.00 |   72.00 |   0.2089 |   0.7000 |  0.7305
  20 |   46.00 |   76.00 |   0.1354 |   0.6989 |  0.7119
  21 |   50.00 |   80.00 |   0.0643 |   0.6894 |  0.6924
  22 |   54.00 |   84.00 |  -0.0034 |   0.6722 |  0.6722
  23 |   58.00 |   88.00 |  -0.0667 |   0.6477 |  0.6511
  24 |   62.00 |   92.00 |  -0.1248 |   0.6168 |  0.6293
  25 |   66.00 |   96.00 |  -0.1771 |   0.5804 |  0.6068
  26 |   70.00 |  100.00 |  -0.2229 |   0.5393 |  0.5836
  27 |   74.00 |  104.00 |  -0.2619 |   0.4946 |  0.5597
  28 |   78.00 |  108.00 |  -0.2939 |   0.4473 |  0.5352
  29 |   82.00 |  112.00 |  -0.3185 |   0.3984 |  0.5101
  30 |   86.00 |  116.00 |  -0.3360 |   0.3489 |  0.4844
  31 |   90.00 |  120.00 |  -0.3464 |   0.3000 |  0.4583

