TASK 2 - PHASE 5: LOAD DISTRIBUTION LOG
Torque utilization and safety margins at each joint
==========================================================================================

SEQUENCE: Step Cycle
   Time |   Hip° |  Knee° |  HipLoad |  Hip% |   KnLoad |   Kn% | Dominant |   Danger
  0.420 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.430 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.440 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.450 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.460 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.470 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.480 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.490 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.500 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.510 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.520 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.530 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.540 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.550 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.560 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.570 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.580 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.590 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.600 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.610 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.620 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.630 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.640 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.650 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.660 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.670 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.680 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.690 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.700 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.710 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.720 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.730 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.740 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.750 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.760 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.770 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.780 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.790 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.800 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.810 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.820 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.830 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.840 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.850 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.860 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.870 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.880 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.890 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.900 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.910 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.920 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.930 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.940 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.950 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.960 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.970 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.980 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  0.990 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  1.000 |   0.00 |   0.00 |  9.5648N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  2.010 |   0.12 |   0.18 |  9.5647N | 79.7% |  2.3544N | 27.7% |      HIP |  WARNING
  2.020 |   0.25 |   0.36 |  9.5647N | 79.7% |  2.3543N | 27.7% |      HIP |  WARNING
  2.030 |   0.38 |   0.54 |  9.5645N | 79.7% |  2.3541N | 27.7% |      HIP |  WARNING
  2.040 |   0.50 |   0.72 |  9.5644N | 79.7% |  2.3539N | 27.7% |      HIP |  WARNING
  2.050 |   0.62 |   0.90 |  9.5642N | 79.7% |  2.3536N | 27.7% |      HIP |  WARNING
  2.060 |   0.75 |   1.08 |  9.5639N | 79.7% |  2.3532N | 27.7% |      HIP |  WARNING
  2.070 |   0.88 |   1.26 |  9.5636N | 79.7% |  2.3528N | 27.7% |      HIP |  WARNING
  2.080 |   1.00 |   1.44 |  9.5633N | 79.7% |  2.3523N | 27.7% |      HIP |  WARNING
  2.090 |   1.12 |   1.62 |  9.5629N | 79.7% |  2.3517N | 27.7% |      HIP |  WARNING
  2.100 |   1.25 |   1.80 |  9.5625N | 79.7% |  2.3511N | 27.7% |      HIP |  WARNING
  2.110 |   1.38 |   1.98 |  9.5620N | 79.7% |  2.3504N | 27.6% |      HIP |  WARNING
  2.120 |   1.50 |   2.16 |  9.5615N | 79.7% |  2.3496N | 27.6% |      HIP |  WARNING
  2.130 |   1.62 |   2.34 |  9.5609N | 79.7% |  2.3488N | 27.6% |      HIP |  WARNING
  2.140 |   1.75 |   2.52 |  9.5603N | 79.7% |  2.3479N | 27.6% |      HIP |  WARNING
  2.150 |   1.88 |   2.70 |  9.5596N | 79.7% |  2.3469N | 27.6% |      HIP |  WARNING
  2.160 |   2.00 |   2.88 |  9.5589N | 79.7% |  2.3459N | 27.6% |      HIP |  WARNING
  2.170 |   2.12 |   3.06 |  9.5582N | 79.7% |  2.3448N | 27.6% |      HIP |  WARNING
  2.180 |   2.25 |   3.24 |  9.5574N | 79.6% |  2.3436N | 27.6% |      HIP |  WARNING
  2.190 |   2.38 |   3.42 |  9.5565N | 79.6% |  2.3424N | 27.6% |      HIP |  WARNING
  2.200 |   2.50 |   3.60 |  9.5556N | 79.6% |  2.3411N | 27.5% |      HIP |  WARNING
  2.210 |   2.62 |   3.78 |  9.5547N | 79.6% |  2.3397N | 27.5% |      HIP |  WARNING
  2.220 |   2.75 |   3.96 |  9.5537N | 79.6% |  2.3383N | 27.5% |      HIP |  WARNING
  2.230 |   2.88 |   4.14 |  9.5527N | 79.6% |  2.3368N | 27.5% |      HIP |  WARNING
  2.240 |   3.00 |   4.32 |  9.5516N | 79.6% |  2.3352N | 27.5% |      HIP |  WARNING
  2.250 |   3.12 |   4.50 |  9.5505N | 79.6% |  2.3336N | 27.4% |      HIP |  WARNING
  2.260 |   3.25 |   4.68 |  9.5494N | 79.6% |  2.3319N | 27.4% |      HIP |  WARNING
  2.270 |   3.38 |   4.86 |  9.5482N | 79.6% |  2.3301N | 27.4% |      HIP |  WARNING
  2.280 |   3.50 |   5.04 |  9.5469N | 79.6% |  2.3283N | 27.4% |      HIP |  WARNING
  2.290 |   3.62 |   5.22 |  9.5456N | 79.5% |  2.3264N | 27.4% |      HIP |  WARNING
  2.300 |   3.75 |   5.40 |  9.5443N | 79.5% |  2.3244N | 27.4% |      HIP |  WARNING
  2.310 |   3.88 |   5.58 |  9.5429N | 79.5% |  2.3224N | 27.3% |      HIP |  WARNING
  2.320 |   4.00 |   5.76 |  9.5415N | 79.5% |  2.3203N | 27.3% |      HIP |  WARNING
  2.330 |   4.12 |   5.94 |  9.5400N | 79.5% |  2.3182N | 27.3% |      HIP |  WARNING
  2.340 |   4.25 |   6.12 |  9.5384N | 79.5% |  2.3159N | 27.2% |      HIP |  WARNING
  2.350 |   4.38 |   6.30 |  9.5369N | 79.5% |  2.3137N | 27.2% |      HIP |  WARNING
  2.360 |   4.50 |   6.48 |  9.5353N | 79.5% |  2.3113N | 27.2% |      HIP |  WARNING
  2.370 |   4.62 |   6.66 |  9.5336N | 79.5% |  2.3089N | 27.2% |      HIP |  WARNING
  2.380 |   4.75 |   6.84 |  9.5319N | 79.4% |  2.3064N | 27.1% |      HIP |  WARNING
  2.390 |   4.88 |   7.02 |  9.5301N | 79.4% |  2.3038N | 27.1% |      HIP |  WARNING
  2.400 |   5.00 |   7.20 |  9.5284N | 79.4% |  2.3012N | 27.1% |      HIP |  WARNING
  2.410 |   5.12 |   7.38 |  9.5265N | 79.4% |  2.2985N | 27.0% |      HIP |  WARNING
  2.420 |   5.25 |   7.56 |  9.5246N | 79.4% |  2.2958N | 27.0% |      HIP |  WARNING
  2.430 |   5.38 |   7.74 |  9.5227N | 79.4% |  2.2930N | 27.0% |      HIP |  WARNING
  2.440 |   5.50 |   7.92 |  9.5207N | 79.3% |  2.2901N | 26.9% |      HIP |  WARNING
  2.450 |   5.62 |   8.10 |  9.5187N | 79.3% |  2.2872N | 26.9% |      HIP |  WARNING
  2.460 |   5.75 |   8.28 |  9.5166N | 79.3% |  2.2842N | 26.9% |      HIP |  WARNING
  2.470 |   5.88 |   8.46 |  9.5145N | 79.3% |  2.2811N | 26.8% |      HIP |  WARNING
  2.480 |   6.00 |   8.64 |  9.5124N | 79.3% |  2.2780N | 26.8% |      HIP |  WARNING
  2.490 |   6.12 |   8.82 |  9.5101N | 79.2% |  2.2748N | 26.8% |      HIP |  WARNING
  2.500 |   6.25 |   9.00 |  9.5079N | 79.2% |  2.2715N | 26.7% |      HIP |  WARNING
  2.510 |   6.38 |   9.18 |  9.5056N | 79.2% |  2.2682N | 26.7% |      HIP |  WARNING
  2.520 |   6.50 |   9.36 |  9.5033N | 79.2% |  2.2648N | 26.6% |      HIP |  WARNING
  2.530 |   6.62 |   9.54 |  9.5009N | 79.2% |  2.2613N | 26.6% |      HIP |  WARNING
  2.540 |   6.75 |   9.72 |  9.4985N | 79.2% |  2.2578N | 26.6% |      HIP |  WARNING
  2.550 |   6.88 |   9.90 |  9.4960N | 79.1% |  2.2542N | 26.5% |      HIP |  WARNING
  2.560 |   7.00 |  10.08 |  9.4935N | 79.1% |  2.2506N | 26.5% |      HIP |  WARNING
  2.570 |   7.12 |  10.26 |  9.4909N | 79.1% |  2.2468N | 26.4% |      HIP |  WARNING
  2.580 |   7.25 |  10.44 |  9.4883N | 79.1% |  2.2431N | 26.4% |      HIP |  WARNING
  2.590 |   7.38 |  10.62 |  9.4856N | 79.0% |  2.2392N | 26.3% |      HIP |  WARNING
  2.600 |   7.50 |  10.80 |  9.4829N | 79.0% |  2.2353N | 26.3% |      HIP |  WARNING
  2.610 |   7.62 |  10.98 |  9.4802N | 79.0% |  2.2314N | 26.2% |      HIP |  WARNING
  2.620 |   7.75 |  11.16 |  9.4774N | 79.0% |  2.2273N | 26.2% |      HIP |  WARNING
  2.630 |   7.88 |  11.34 |  9.4745N | 79.0% |  2.2232N | 26.2% |      HIP |  WARNING
  2.640 |   8.00 |  11.52 |  9.4717N | 78.9% |  2.2191N | 26.1% |      HIP |  WARNING
  2.650 |   8.12 |  11.70 |  9.4687N | 78.9% |  2.2149N | 26.1% |      HIP |  WARNING
  2.660 |   8.25 |  11.88 |  9.4658N | 78.9% |  2.2106N | 26.0% |      HIP |  WARNING
  2.670 |   8.38 |  12.06 |  9.4628N | 78.9% |  2.2062N | 26.0% |      HIP |  WARNING
  2.680 |   8.50 |  12.24 |  9.4597N | 78.8% |  2.2018N | 25.9% |      HIP |  WARNING
  2.690 |   8.62 |  12.42 |  9.4566N | 78.8% |  2.1974N | 25.9% |      HIP |  WARNING
  2.700 |   8.75 |  12.60 |  9.4534N | 78.8% |  2.1928N | 25.8% |      HIP |  WARNING
  2.710 |   8.88 |  12.78 |  9.4502N | 78.8% |  2.1882N | 25.7% |      HIP |  WARNING
  2.720 |   9.00 |  12.96 |  9.4470N | 78.7% |  2.1836N | 25.7% |      HIP |  WARNING
  2.730 |   9.12 |  13.14 |  9.4437N | 78.7% |  2.1789N | 25.6% |      HIP |  WARNING
  2.740 |   9.25 |  13.32 |  9.4404N | 78.7% |  2.1741N | 25.6% |      HIP |  WARNING
  2.750 |   9.38 |  13.50 |  9.4370N | 78.6% |  2.1692N | 25.5% |      HIP |  WARNING
  2.760 |   9.50 |  13.68 |  9.4336N | 78.6% |  2.1643N | 25.5% |      HIP |  WARNING
  2.770 |   9.62 |  13.86 |  9.4301N | 78.6% |  2.1594N | 25.4% |      HIP |  WARNING
  2.780 |   9.75 |  14.04 |  9.4266N | 78.6% |  2.1543N | 25.3% |      HIP |  WARNING
  2.790 |   9.88 |  14.22 |  9.4230N | 78.5% |  2.1493N | 25.3% |      HIP |  WARNING
  2.800 |  10.00 |  14.40 |  9.4194N | 78.5% |  2.1441N | 25.2% |      HIP |  WARNING
  2.810 |  10.12 |  14.58 |  9.4158N | 78.5% |  2.1389N | 25.2% |      HIP |  WARNING
  2.820 |  10.25 |  14.76 |  9.4121N | 78.4% |  2.1336N | 25.1% |      HIP |  WARNING
  2.830 |  10.38 |  14.94 |  9.4084N | 78.4% |  2.1283N | 25.0% |      HIP |  WARNING
  2.840 |  10.50 |  15.12 |  9.4046N | 78.4% |  2.1229N | 25.0% |      HIP |  WARNING
  2.850 |  10.62 |  15.30 |  9.4008N | 78.3% |  2.1175N | 24.9% |      HIP |  WARNING
  2.860 |  10.75 |  15.48 |  9.3969N | 78.3% |  2.1120N | 24.9% |      HIP |  WARNING
  2.870 |  10.88 |  15.66 |  9.3930N | 78.3% |  2.1064N | 24.8% |      HIP |  WARNING
  2.880 |  11.00 |  15.84 |  9.3890N | 78.2% |  2.1008N | 24.7% |      HIP |  WARNING
  2.890 |  11.12 |  16.02 |  9.3850N | 78.2% |  2.0951N | 24.6% |      HIP |  WARNING
  2.900 |  11.25 |  16.20 |  9.3810N | 78.2% |  2.0893N | 24.6% |      HIP |  WARNING
  2.910 |  11.38 |  16.38 |  9.3769N | 78.1% |  2.0835N | 24.5% |      HIP |  WARNING
  2.920 |  11.50 |  16.56 |  9.3727N | 78.1% |  2.0777N | 24.4% |      HIP |  WARNING
  2.930 |  11.62 |  16.74 |  9.3686N | 78.1% |  2.0717N | 24.4% |      HIP |  WARNING
  2.940 |  11.75 |  16.92 |  9.3643N | 78.0% |  2.0657N | 24.3% |      HIP |  WARNING
  2.950 |  11.88 |  17.10 |  9.3601N | 78.0% |  2.0597N | 24.2% |      HIP |  WARNING
  2.960 |  12.00 |  17.28 |  9.3557N | 78.0% |  2.0536N | 24.2% |      HIP |  WARNING
  2.970 |  12.12 |  17.46 |  9.3514N | 77.9% |  2.0474N | 24.1% |      HIP |  WARNING
  2.980 |  12.25 |  17.64 |  9.3470N | 77.9% |  2.0412N | 24.0% |      HIP |  WARNING
  2.990 |  12.38 |  17.82 |  9.3425N | 77.8% |  2.0350N | 23.9% |      HIP |  WARNING
  3.000 |  12.50 |  18.00 |  9.3380N | 77.8% |  2.0286N | 23.9% |      HIP |  WARNING
  3.010 |  12.62 |  18.18 |  9.3335N | 77.8% |  2.0222N | 23.8% |      HIP |  WARNING
  3.020 |  12.75 |  18.36 |  9.3289N | 77.7% |  2.0158N | 23.7% |      HIP |  WARNING
  3.030 |  12.88 |  18.54 |  9.3243N | 77.7% |  2.0093N | 23.6% |      HIP |  WARNING
  3.040 |  13.00 |  18.72 |  9.3196N | 77.7% |  2.0027N | 23.6% |      HIP |  WARNING
  3.050 |  13.12 |  18.90 |  9.3149N | 77.6% |  1.9961N | 23.5% |      HIP |  WARNING
  3.060 |  13.25 |  19.08 |  9.3101N | 77.6% |  1.9894N | 23.4% |      HIP |  WARNING
  3.070 |  13.38 |  19.26 |  9.3053N | 77.5% |  1.9827N | 23.3% |      HIP |  WARNING
  3.080 |  13.50 |  19.44 |  9.3005N | 77.5% |  1.9759N | 23.2% |      HIP |  WARNING
  3.090 |  13.62 |  19.62 |  9.2956N | 77.5% |  1.9691N | 23.2% |      HIP |  WARNING
  3.100 |  13.75 |  19.80 |  9.2906N | 77.4% |  1.9622N | 23.1% |      HIP |  WARNING
  3.110 |  13.88 |  19.98 |  9.2857N | 77.4% |  1.9552N | 23.0% |      HIP |  WARNING
  3.120 |  14.00 |  20.16 |  9.2806N | 77.3% |  1.9482N | 22.9% |      HIP |  WARNING
  3.130 |  14.12 |  20.34 |  9.2756N | 77.3% |  1.9411N | 22.8% |      HIP |  WARNING
  3.140 |  14.25 |  20.52 |  9.2705N | 77.2% |  1.9340N | 22.8% |      HIP |  WARNING
  3.150 |  14.38 |  20.70 |  9.2653N | 77.2% |  1.9268N | 22.7% |      HIP |  WARNING
  3.160 |  14.50 |  20.88 |  9.2601N | 77.2% |  1.9196N | 22.6% |      HIP |  WARNING
  3.170 |  14.62 |  21.06 |  9.2548N | 77.1% |  1.9123N | 22.5% |      HIP |  WARNING
  3.180 |  14.75 |  21.24 |  9.2496N | 77.1% |  1.9050N | 22.4% |      HIP |  WARNING
  3.190 |  14.88 |  21.42 |  9.2442N | 77.0% |  1.8976N | 22.3% |      HIP |  WARNING
  3.200 |  15.00 |  21.60 |  9.2388N | 77.0% |  1.8902N | 22.2% |      HIP |  WARNING
  3.210 |  15.12 |  21.78 |  9.2334N | 76.9% |  1.8827N | 22.1% |      HIP |  WARNING
  3.220 |  15.25 |  21.96 |  9.2279N | 76.9% |  1.8751N | 22.1% |      HIP |  WARNING
  3.230 |  15.38 |  22.14 |  9.2224N | 76.8% |  1.8675N | 22.0% |      HIP |  WARNING
  3.240 |  15.50 |  22.32 |  9.2169N | 76.8% |  1.8598N | 21.9% |      HIP |  WARNING
  3.250 |  15.62 |  22.50 |  9.2113N | 76.8% |  1.8521N | 21.8% |      HIP |  WARNING
  3.260 |  15.75 |  22.68 |  9.2056N | 76.7% |  1.8444N | 21.7% |      HIP |  WARNING
  3.270 |  15.88 |  22.86 |  9.2000N | 76.7% |  1.8365N | 21.6% |      HIP |  WARNING
  3.280 |  16.00 |  23.04 |  9.1942N | 76.6% |  1.8287N | 21.5% |      HIP |  WARNING
  3.290 |  16.12 |  23.22 |  9.1885N | 76.6% |  1.8208N | 21.4% |      HIP |  WARNING
  3.300 |  16.25 |  23.40 |  9.1826N | 76.5% |  1.8128N | 21.3% |      HIP |  WARNING
  3.310 |  16.38 |  23.58 |  9.1768N | 76.5% |  1.8048N | 21.2% |      HIP |  WARNING
  3.320 |  16.50 |  23.76 |  9.1709N | 76.4% |  1.7967N | 21.1% |      HIP |  WARNING
  3.330 |  16.62 |  23.94 |  9.1649N | 76.4% |  1.7886N | 21.0% |      HIP |  WARNING
  3.340 |  16.75 |  24.12 |  9.1589N | 76.3% |  1.7804N | 20.9% |      HIP |  WARNING
  3.350 |  16.88 |  24.30 |  9.1529N | 76.3% |  1.7722N | 20.9% |      HIP |  WARNING
  3.360 |  17.00 |  24.48 |  9.1468N | 76.2% |  1.7639N | 20.8% |      HIP |  WARNING
  3.370 |  17.12 |  24.66 |  9.1407N | 76.2% |  1.7556N | 20.6% |      HIP |  WARNING
  3.380 |  17.25 |  24.84 |  9.1345N | 76.1% |  1.7472N | 20.6% |      HIP |  WARNING
  3.390 |  17.38 |  25.02 |  9.1283N | 76.1% |  1.7388N | 20.5% |      HIP |  WARNING
  3.400 |  17.50 |  25.20 |  9.1221N | 76.0% |  1.7303N | 20.4% |      HIP |  WARNING
  3.410 |  17.62 |  25.38 |  9.1158N | 76.0% |  1.7218N | 20.3% |      HIP |  WARNING
  3.420 |  17.75 |  25.56 |  9.1094N | 75.9% |  1.7132N | 20.2% |      HIP |  WARNING
  3.430 |  17.88 |  25.74 |  9.1030N | 75.9% |  1.7046N | 20.1% |      HIP |  WARNING
  3.440 |  18.00 |  25.92 |  9.0966N | 75.8% |  1.6959N | 19.9% |      HIP |  WARNING
  3.450 |  18.12 |  26.10 |  9.0901N | 75.8% |  1.6872N | 19.9% |      HIP |  WARNING
  3.460 |  18.25 |  26.28 |  9.0836N | 75.7% |  1.6784N | 19.8% |      HIP |  WARNING
  3.470 |  18.38 |  26.46 |  9.0771N | 75.6% |  1.6696N | 19.6% |      HIP |  WARNING
  3.480 |  18.50 |  26.64 |  9.0705N | 75.6% |  1.6607N | 19.5% |      HIP |  WARNING
  3.490 |  18.62 |  26.82 |  9.0638N | 75.5% |  1.6518N | 19.4% |      HIP |  WARNING
